date,ticker,momentum,reversal,volatility,size,target
2001-02-28,A,0.11904761904761904,0.9576719576719577,0.11904761904761904,0.2275132275132275,-0.10873077519525257
2001-02-28,AAPL,0.015873015873015872,0.8571428571428571,0.16137566137566137,0.9894179894179894,0.24697271718243927
2001-02-28,ABT,0.6984126984126984,0.1111111111111111,0.5158730158730159,0.5079365079365079,0.0009160855392957509
2001-02-28,ACGL,0.3544973544973545,0.2804232804232804,0.4973544973544973,0.9417989417989417,0.02984564890042759
2001-02-28,ACN,0.24735449735449735,0.44047619047619047,0.966931216931217,0.5476190476190477,0.03765830921809984
2001-02-28,ADBE,0.8333333333333334,0.9523809523809523,0.042328042328042326,0.41534391534391535,0.2414076646539943
2001-02-28,ADI,0.6243386243386243,0.9788359788359788,0.10052910052910052,0.1984126984126984,0.009240121598108018
2001-02-28,ADM,0.6534391534391535,0.37566137566137564,0.4708994708994709,0.656084656084656,-0.08858732642116987
2001-02-28,ADP,0.5529100529100529,0.5370370370370371,0.7142857142857143,0.1349206349206349,-0.039027825760388137
2001-02-28,ADSK,0.5132275132275133,0.29365079365079366,0.1984126984126984,0.6005291005291006,-0.16070222451052732
2001-02-28,AEE,0.6349206349206349,0.291005291005291,0.8571428571428571,0.43915343915343913,0.023517581022918642
2001-02-28,AEP,0.6746031746031746,0.06878306878306878,0.8386243386243386,0.35185185185185186,0.026299482106045123
2001-02-28,AES,0.746031746031746,0.7037037037037037,0.3862433862433862,0.06349206349206349,-0.03664219672958006
2001-02-28,AFL,0.6587301587301587,0.328042328042328,0.6534391534391535,0.6190476190476191,-0.046782669333824724
2001-02-28,AIG,0.5264550264550265,0.6375661375661376,0.7301587301587301,0.0026455026455026454,0.021766491402333964
2001-02-28,AIZ,0.24735449735449735,0.44047619047619047,0.966931216931217,0.3439153439153439,0.03765830921809984
2001-02-28,AJG,0.9206349206349206,0.5185185185185185,0.32275132275132273,0.48148148148148145,0.1277535951225249
2001-02-28,AKAM,0.0026455026455026454,0.9867724867724867,0.005291005291005291,0.328042328042328,-0.45680663543134664
2001-02-28,ALB,0.7248677248677249,0.6666666666666666,0.4417989417989418,0.6613756613756614,-0.0158050888323659
2001-02-28,ALGN,0.09523809523809523,0.9894179894179894,0.1455026455026455,0.6798941798941799,0.004324975884766512
2001-02-28,ALL,0.8783068783068783,0.30423280423280424,0.47883597883597884,0.2222222222222222,0.08984069686004456
2001-02-28,AMAT,0.07936507936507936,0.8677248677248677,0.06084656084656084,0.3888888888888889,0.06724327765378643
2001-02-28,AMD,0.6640211640211641,0.8253968253968254,0.10582010582010581,0.22486772486772486,0.2720769564519297
2001-02-28,AME,0.5291005291005291,0.2857142857142857,0.708994708994709,0.873015873015873,0.03988149394050552
2001-02-28,AMGN,0.3941798941798942,0.31746031746031744,0.29894179894179895,0.031746031746031744,-0.1271290521227272
2001-02-28,AMT,0.29365079365079366,0.8968253968253969,0.1693121693121693,0.23015873015873015,-0.3230879970906015
2001-02-28,AMZN,0.007936507936507936,0.9814814814814815,0.037037037037037035,0.9814814814814815,0.041830137232816554
2001-02-28,AON,0.6904761904761905,0.5634920634920635,0.6746031746031746,0.17724867724867724,0.07354991622159854
2001-02-28,AOS,0.15873015873015872,0.09788359788359788,0.8835978835978836,0.9259259259259259,0.09219318908190174
2001-02-28,APA,0.8306878306878307,0.3333333333333333,0.3439153439153439,0.32275132275132273,0.01908912355833866
2001-02-28,APD,0.58994708994709,0.15079365079365079,0.746031746031746,0.23809523809523808,-0.010711129250215258
2001-02-28,APH,0.7275132275132276,0.9365079365079365,0.12698412698412698,0.9708994708994709,-0.07998884384148933
2001-02-28,ARE,0.5634920634920635,0.20105820105820105,0.9021164021164021,0.3915343915343915,0.03186436309744086
2001-02-28,ATO,0.7777777777777778,0.6296296296296297,0.6058201058201058,0.5925925925925926,0.059117669800420845
2001-02-28,AVB,0.7751322751322751,0.5793650793650794,0.9126984126984127,0.30952380952380953,0.015389801577429384
2001-02-28,AVY,0.1111111111111111,0.5767195767195767,0.7222222222222222,0.12169312169312169,0.024656208509381626
2001-02-28,AXON,0.24735449735449735,0.44047619047619047,0.966931216931217,0.9841269841269841,0.03765830921809984
2001-02-28,AXP,0.1402116402116402,0.708994708994709,0.4656084656084656,0.12962962962962962,-0.021138216668076838
2001-02-28,AZO,0.21164021164021163,0.5978835978835979,0.8015873015873016,0.15343915343915343,0.14692197524634074
2001-02-28,BA,0.6190476190476191,0.17195767195767195,0.5343915343915344,0.03968253968253968,-0.06668258892089488
2001-02-28,BAC,0.47354497354497355,0.6613756613756614,0.42063492063492064,0.4523809523809524,0.11754028054982654
2001-02-28,BALL,0.4126984126984127,0.25396825396825395,0.6613756613756614,0.9206349206349206,0.1456292402698048
2001-02-28,BAX,0.7566137566137566,0.22486772486772486,0.8253968253968254,0.37037037037037035,0.059919607254379136
2001-02-28,BBWI,0.6613756613756614,0.8492063492063492,0.24603174603174602,0.8201058201058201,-0.06768401624301693
2001-02-28,BBY,0.3412698412698413,0.8809523809523809,0.07407407407407407,0.5767195767195767,-0.08441168691226777
2001-02-28,BDX,0.6164021164021164,0.23015873015873015,0.5582010582010583,0.2777777777777778,0.021996508504229927
2001-02-28,BF-B,0.5079365079365079,0.6481481481481481,0.8862433862433863,0.8412698412698413,0.0183939898127324
2001-02-28,BG,0.24735449735449735,0.44047619047619047,0.966931216931217,0.5873015873015873,0.03765830921809984
2001-02-28,BIIB,0.6931216931216931,0.6507936507936508,0.14285714285714285,0.021164021164021163,-0.2528073227109467
2001-02-28,BIO,0.8941798941798942,0.8650793650793651,0.36507936507936506,0.31216931216931215,0.06476246852247311
2001-02-28,BK,0.656084656084656,0.6825396825396826,0.6904761904761905,0.10052910052910052,-0.011395240892823656
2001-02-28,BKR,0.8624338624338624,0.671957671957672,0.5423280423280423,0.30158730158730157,-0.03606575063856524
2001-02-28,BLK,0.9629629629629629,0.5158730158730159,0.3544973544973545,0.19047619047619047,-0.04863618258788841
2001-02-28,BMY,0.18783068783068782,0.3201058201058201,0.6507936507936508,0.19576719576719576,-0.025581105141539807
2001-02-28,BRK-B,0.6693121693121693,0.25925925925925924,0.8518518518518519,0.03439153439153439,-0.03202955753267837
2001-02-28,BRO,0.9338624338624338,0.03968253968253968,0.6851851851851852,0.8571428571428571,-0.08926548460424424
2001-02-28,BSX,0.10582010582010581,0.5396825396825397,0.3835978835978836,0.6534391534391535,0.2614303277308328
2001-02-28,CAH,0.9312169312169312,0.17989417989417988,0.6693121693121693,0.09788359788359788,-0.008828400023588347
2001-02-28,CAT,0.37566137566137564,0.6904761904761905,0.6005291005291006,0.5185185185185185,0.10448551794025937
2001-02-28,CBRE,0.24735449735449735,0.44047619047619047,0.966931216931217,0.7433862433862434,0.03765830921809984
2001-02-28,CCL,0.07671957671957672,0.2751322751322751,0.2222222222222222,0.23544973544973544,-0.13240743199679786
2001-02-28,CDNS,0.7301587301587301,0.8412698412698413,0.19047619047619047,0.15079365079365079,-0.23295315062890146
2001-02-28,CNC,0.24735449735449735,0.44047619047619047,0.966931216931217,0.9576719576719577,0.03765830921809984
2001-02-28,CNX,0.9735449735449735,0.047619047619047616,0.23015873015873015,0.5740740740740741,0.1876582851528311
2001-02-28,COF,0.8121693121693122,0.8174603174603174,0.3994708994708995,0.05291005291005291,0.042184046960242215
2001-02-28,COR,0.9788359788359788,0.05291005291005291,0.31746031746031744,0.6349206349206349,-0.049273748939588836
2001-02-28,CPB,0.373015873015873,0.7513227513227513,0.7857142857142857,0.4417989417989418,0.0356534092115199
2001-02-28,CPT,0.6798941798941799,0.6349206349206349,0.9259259259259259,0.5634920634920635,0.09582327165137391
2001-02-28,CRL,0.5661375661375662,0.843915343915344,0.23809523809523808,0.17195767195767195,0.06038554970244022
2001-02-28,GOOG,0.24735449735449735,0.44047619047619047,0.966931216931217,0.9126984126984127,0.03765830921809984
2001-02-28,GOOGL,0.24735449735449735,0.44047619047619047,0.966931216931217,0.9074074074074074,0.03765830921809984
2001-02-28,KMX,0.9920634920634921,0.19576719576719576,0.21957671957671956,0.9021164021164021,0.50173594460212
2001-02-28,LNT,0.3835978835978836,0.13756613756613756,0.8915343915343915,0.753968253968254,0.001900632163077752
2001-02-28,MMM,0.5105820105820106,0.32275132275132273,0.6243386243386243,0.18253968253968253,-0.040834616065106
2001-02-28,MO,0.9603174603174603,0.10582010582010581,0.544973544973545,0.9047619047619048,0.033143664159096385
2001-02-28,T,0.4708994708994709,0.5291005291005291,0.4312169312169312,0.7301587301587301,-0.026702542137298536
2001-02-28,TECH,0.16137566137566137,0.5952380952380952,0.12433862433862433,0.7883597883597884,0.007495836351167982
2001-02-28,C,0.6111111111111112,0.8121693121693122,0.5079365079365079,0.005291005291005291,-0.04774270650047511
2001-02-28,CAG,0.4365079365079365,0.8624338624338624,0.3492063492063492,0.7513227513227513,-0.035512353220742345
2001-02-28,CB,0.9444444444444444,0.5079365079365079,0.41534391534391535,0.21428571428571427,0.04589623999652955
2001-02-28,CCI,0.15608465608465608,0.7671957671957672,0.082010582010582,0.4074074074074074,-0.3727893821877379
