Date,AAPL,ABT,ADI,AMGN,AXP,BA,BAC,BAX,BMY,C,CAT,CL,CLX,CSCO,EMR,ETN,FDX,GE,GILD,GIS,GLW,GS,HON,HPQ,IBM,INTC,ITW,JNJ,JPM,KO,LLY,MDT,MET,MKC,MMM,MS,MSFT,PEP,PFE,PG,PNC,QCOM,SYY,TXN,UNH,UPS,USB,WFC,WMT
2000-01-03,0.8377240896224976,8.042603492736816,27.553604125976562,42.25116729736328,32.15031051635742,25.94028663635254,12.356374740600586,9.931427955627441,22.929895401000977,205.71771240234375,12.520857810974121,17.562259674072266,23.64004898071289,34.77256393432617,14.082902908325195,6.751074314117432,34.24091339111328,129.43792724609375,1.2156957387924194,7.5223188400268555,26.45368766784668,61.03824996948242,28.12251091003418,11.629532814025879,56.67097091674805,24.710647583007812,18.144132614135742,23.282207489013672,22.79384994506836,13.521970748901367,32.50004959106445,21.0435791015625,7.49916934967041,4.065473556518555,19.257400512695312,32.50876998901367,35.520362854003906,18.81439781188965,11.27286148071289,26.633146286010742,18.745946884155273,55.183570861816406,9.732417106628418,31.15526580810547,5.16980504989624,31.8980770111084,8.538986206054688,9.547086715698242,14.154535293579102
2000-01-04,0.7670958042144775,7.812810897827148,26.15969467163086,39.02042770385742,30.936351776123047,25.89993667602539,11.622958183288574,9.708930015563965,21.195138931274414,193.1029815673828,12.359918594360352,17.103809356689453,23.009241104125977,32.8217658996582,13.914708137512207,6.52052116394043,33.094573974609375,124.2603988647461,1.160375952720642,7.385796546936035,23.888395309448242,57.193641662597656,27.626407623291016,10.750665664672852,54.74736404418945,23.556772232055664,17.327465057373047,22.429841995239258,22.2937068939209,13.536965370178223,31.477643966674805,21.19717788696289,7.49916934967041,4.12004280090332,18.492206573486328,30.100696563720703,34.32050323486328,18.3360538482666,10.852888107299805,26.120670318603516,18.162748336791992,49.87484359741211,9.429275512695312,29.830324172973633,5.103682041168213,30.8873348236084,8.227532386779785,9.074304580688477,13.624898910522461
2000-01-05,0.7783209085464478,7.798455238342285,26.541576385498047,40.36307144165039,30.150606155395508,27.513641357421875,11.750511169433594,10.133694648742676,21.059362411499023,200.86590576171875,12.649612426757812,16.521930694580078,23.610008239746094,32.72119903564453,14.174660682678223,6.573723316192627,33.842193603515625,124.04466247558594,1.1509302854537964,7.34484338760376,23.345481872558594,54.51539611816406,27.25432014465332,10.682580947875977,56.67097091674805,23.752052307128906,17.540498733520508,22.666606903076172,22.156095504760742,13.656895637512207,31.880401611328125,22.5289249420166,7.49916934967041,4.156423091888428,19.027847290039062,29.002017974853516,34.68236541748047,17.889617919921875,11.029722213745117,25.62372398376465,18.246057510375977,48.143760681152344,9.540035247802734,29.11105728149414,5.091658592224121,32.344017028808594,8.04585075378418,8.982803344726562,13.346845626831055
2000-01-06,0.7109661102294922,8.071319580078125,25.81598472595215,41.034385681152344,30.764881134033203,27.796051025390625,12.754962921142578,10.346076965332031,21.34967803955078,210.56948852539062,13.293351173400879,16.486658096313477,23.820281982421875,32.17822265625,14.572214126586914,6.709692478179932,37.679962158203125,125.70305633544922,1.229188323020935,7.391640663146973,22.802553176879883,56.848079681396484,27.781436920166016,10.001764297485352,55.693912506103516,22.367393493652344,17.416240692138672,23.376920700073242,22.470651626586914,13.671884536743164,32.80986022949219,23.37470054626465,7.49916934967041,4.101851940155029,20.558229446411133,29.558887481689453,33.520565032958984,18.686838150024414,11.427584648132324,26.803972244262695,19.10698890686035,43.104331970214844,9.94020938873291,28.316078186035156,5.278011798858643,32.344017028808594,8.668755531311035,9.379326820373535,13.492491722106934
2000-01-07,0.7446439862251282,8.157491683959961,26.541576385498047,45.64971923828125,31.212793350219727,28.6028995513916,12.420149803161621,10.932658195495605,24.476194381713867,209.59918212890625,13.727883338928223,17.474098205566406,25.141952514648438,34.06867980957031,15.229727745056152,6.916604518890381,37.87932586669922,130.57049560546875,1.4167369604110718,7.405411720275879,25.381412506103516,57.06409454345703,29.269737243652344,10.28647232055664,55.44966125488281,23.290504455566406,18.534709930419922,24.371349334716797,22.88350486755371,14.571343421936035,35.22644805908203,25.98897933959961,7.49916934967041,4.083664417266846,20.966327667236328,30.47696876525879,33.95862579345703,19.197057723999023,12.20121955871582,28.947038650512695,19.134756088256836,46.16261291503906,9.95621395111084,28.467510223388672,5.897185325622559,31.571090698242188,9.006165504455566,9.547086715698242,14.51203727722168
2000-01-10,0.7315470576286316,8.10004997253418,28.852027893066406,48.41889953613281,31.647891998291016,28.199460983276367,11.989665985107422,10.5180082321167,24.208215713500977,208.87142944335938,13.277266502380371,17.950178146362305,24.871593475341797,35.33567810058594,14.43460750579834,6.739252090454102,37.08187484741211,130.51663208007812,1.6015876531600952,7.253994941711426,25.625734329223633,58.31675338745117,29.42473602294922,10.998233795166016,57.64809036254883,24.355602264404297,18.8897705078125,23.75574493408203,22.49030113220215,14.106636047363281,33.77030563354492,25.79676055908203,7.49916934967041,3.901763439178467,20.86431312561035,31.55495262145996,34.206233978271484,18.81439781188965,12.179117202758789,28.80727767944336,18.46824073791504,49.04780578613281,9.988234519958496,30.41707992553711,5.7949910163879395,31.8980770111084,8.954254150390625,9.2420654296875,14.247223854064941
2000-01-11,0.6941276788711548,7.9851555824279785,27.66815948486328,44.60079574584961,31.94222640991211,27.67500877380371,11.734570503234863,10.5180082321167,23.873231887817383,206.2029571533203,13.068037986755371,18.03834342956543,25.111913681030273,34.269798278808594,14.404021263122559,6.751074314117432,36.38409423828125,130.73228454589844,1.4551914930343628,7.350346088409424,23.331911087036133,58.61915969848633,29.207704544067383,10.750665664672852,58.136680603027344,25.473987579345703,18.69449234008789,23.834667205810547,21.959501266479492,14.586341857910156,33.95619201660156,25.912107467651367,7.49916934967041,3.8744795322418213,20.50720977783203,31.55495262145996,33.33012390136719,18.750606536865234,12.02439022064209,29.257633209228516,18.273836135864258,44.45073318481445,9.988234519958496,30.133153915405273,5.807013511657715,31.035978317260742,8.616848945617676,9.089554786682129,14.035372734069824
2000-01-12,0.6524990200996399,7.8656511306762695,28.565608978271484,42.67072677612305,31.775894165039062,27.796051025390625,11.862115859985352,10.396647453308105,23.806236267089844,213.48069763183594,13.293351173400879,18.161781311035156,25.081880569458008,33.40498352050781,14.60279655456543,6.733343601226807,36.08503723144531,131.16375732421875,1.4423741102218628,7.336580276489258,22.53110122680664,58.31675338745117,29.48676109313965,11.128202438354492,58.38090896606445,25.91779136657715,18.46368408203125,23.613691329956055,22.097122192382812,14.751249313354492,33.46049118041992,25.873655319213867,7.49916934967041,3.8744795322418213,20.558229446411133,31.796533584594727,32.244503021240234,18.527395248413086,12.42225456237793,29.0712833404541,18.86910629272461,42.546546936035156,10.3563871383667,30.587427139282227,5.752910137176514,32.046730041503906,9.058070182800293,9.348820686340332,13.783799171447754
2000-01-13,0.7240626811981201,7.793491363525391,28.661096572875977,44.85251998901367,31.94222640991211,27.352262496948242,12.133163452148438,10.63936996459961,23.359594345092773,215.90655517578125,13.438199043273926,18.285198211669922,26.433595657348633,34.169227600097656,15.046238899230957,6.745162010192871,37.48060607910156,132.67391967773438,1.5219801664352417,7.364116668701172,25.354276657104492,58.403167724609375,29.703815460205078,11.165340423583984,57.77023696899414,25.86453628540039,19.404630661010742,23.582111358642578,22.43132209777832,14.526376724243164,33.05772399902344,26.757896423339844,7.49916934967041,3.96543025970459,20.558229446411133,31.992820739746094,32.85396194458008,18.3360538482666,13.085363388061523,28.57433319091797,20.581933975219727,44.04683303833008,10.276351928710938,31.003816604614258,5.933251857757568,32.49265670776367,9.655022621154785,9.867354393005371,13.797035217285156
2000-01-14,0.751659631729126,7.966679096221924,30.97154998779297,45.859500885009766,32.65888595581055,28.40117835998535,12.882513999938965,10.315740585327148,24.007213592529297,225.12503051757812,13.373824119567871,17.86200714111328,26.073139190673828,34.61168670654297,14.90861701965332,6.745162010192871,37.131710052490234,130.3008270263672,1.486899733543396,7.198935031890869,24.322736740112305,59.18074035644531,29.703815460205078,11.140582084655762,58.441959381103516,29.272897720336914,19.17383575439453,23.661043167114258,23.237361907958984,14.646308898925781,33.863258361816406,26.988557815551758,7.49916934967041,4.001808166503906,20.264904022216797,33.170448303222656,34.206233978271484,18.463611602783203,13.085363388061523,29.0712833404541,21.00311851501465,43.21975326538086,10.084270477294922,32.66949462890625,5.927241802215576,32.84940719604492,9.655022621154785,10.172377586364746,13.664618492126465
